GPU available: True
Carga datasets
	Tiny Shakespeare
	Wikitext-2
Longitud corpus train: 10039821 caracteres
Longitud corpus valid: 1053455 caracteres
Longitud corpus test: 1186126 caracteres
Número total de tokens: 2524860
Número total de tokens: 266679
Preparando DataLoader
Se invoca el modelo
TRAIN
Iteracciones: 39449
  [Batch 13800] Loss: 8.2618
  [Batch 13900] Loss: 8.2241
  [Batch 14000] Loss: 8.2724
  [Batch 14100] Loss: 8.2643
  [Batch 14200] Loss: 8.2437
  [Batch 14300] Loss: 8.2454
  [Batch 14400] Loss: 8.2711
  [Batch 14500] Loss: 8.2239
  [Batch 14600] Loss: 8.2100
  [Batch 14700] Loss: 8.2706
  [Batch 14800] Loss: 8.2133
  [Batch 14900] Loss: 8.1999
  [Batch 15000] Loss: 8.2385
  [Batch 15100] Loss: 8.1766
  [Batch 15200] Loss: 8.1673
  [Batch 15300] Loss: 8.2436
  [Batch 15400] Loss: 8.1812
  [Batch 15500] Loss: 8.1785
  [Batch 15600] Loss: 8.1899
  [Batch 15700] Loss: 8.1551
  [Batch 15800] Loss: 8.1539
  [Batch 15900] Loss: 8.1857
  [Batch 16000] Loss: 8.1613
  [Batch 16100] Loss: 8.1643
  [Batch 16200] Loss: 8.1580
  [Batch 16300] Loss: 8.1301
  [Batch 16400] Loss: 8.1059
  [Batch 16500] Loss: 8.1525
  [Batch 16600] Loss: 8.1069
  [Batch 16700] Loss: 8.1259
  [Batch 16800] Loss: 8.1234
  [Batch 16900] Loss: 8.1372
  [Batch 17000] Loss: 8.0897
  [Batch 17100] Loss: 8.1061
  [Batch 17200] Loss: 8.1292
  [Batch 17300] Loss: 8.1466
  [Batch 17400] Loss: 8.0988
  [Batch 17500] Loss: 8.1042
  [Batch 17600] Loss: 8.0859
  [Batch 17700] Loss: 8.0944
  [Batch 17800] Loss: 8.0720
  [Batch 17900] Loss: 8.0741
  [Batch 18000] Loss: 8.0819
  [Batch 18100] Loss: 8.0784
  [Batch 18200] Loss: 8.0350
  [Batch 18300] Loss: 8.0615
  [Batch 18400] Loss: 8.0630
  [Batch 18500] Loss: 8.0772
  [Batch 18600] Loss: 8.0223
  [Batch 18700] Loss: 8.0586
  [Batch 18800] Loss: 8.0612
  [Batch 18900] Loss: 8.0504
  [Batch 19000] Loss: 8.0529
  [Batch 19100] Loss: 8.0844
  [Batch 19200] Loss: 7.9926
  [Batch 19300] Loss: 8.0413
  [Batch 19400] Loss: 8.0282
  [Batch 19500] Loss: 8.0222
  [Batch 19600] Loss: 8.0354
  [Batch 19700] Loss: 8.0239
  [Batch 19800] Loss: 8.0323
  [Batch 19900] Loss: 8.0276
  [Batch 20000] Loss: 8.0224
  [Batch 20100] Loss: 8.0030
  [Batch 20200] Loss: 7.9586
  [Batch 20300] Loss: 7.9866
  [Batch 20400] Loss: 7.9614
  [Batch 20500] Loss: 7.9762
  [Batch 20600] Loss: 8.0039
  [Batch 20700] Loss: 8.0021
  [Batch 20800] Loss: 7.9487
  [Batch 20900] Loss: 7.9663
  [Batch 21000] Loss: 7.9678
  [Batch 21100] Loss: 7.9497
  [Batch 21200] Loss: 7.9820
  [Batch 21300] Loss: 7.9440
  [Batch 21400] Loss: 7.9612
  [Batch 21500] Loss: 7.9643
  [Batch 21600] Loss: 7.9691
  [Batch 21700] Loss: 7.9775
  [Batch 21800] Loss: 7.9182
  [Batch 21900] Loss: 7.9535
  [Batch 22000] Loss: 7.9199
  [Batch 22100] Loss: 7.9136
  [Batch 22200] Loss: 7.9845
  [Batch 22300] Loss: 7.9278
  [Batch 22400] Loss: 7.9533
  [Batch 22500] Loss: 7.9410
  [Batch 22600] Loss: 7.9313
  [Batch 22700] Loss: 7.9216
  [Batch 22800] Loss: 7.9105
  [Batch 22900] Loss: 7.8786
  [Batch 23000] Loss: 7.9073
  [Batch 23100] Loss: 7.8935
  [Batch 23200] Loss: 7.8843
  [Batch 23300] Loss: 7.8826
  [Batch 23400] Loss: 7.9110
  [Batch 23500] Loss: 7.8920
  [Batch 23600] Loss: 7.8988
  [Batch 23700] Loss: 7.8987
  [Batch 23800] Loss: 7.8783
  [Batch 23900] Loss: 7.8743
  [Batch 24000] Loss: 7.9032
  [Batch 24100] Loss: 7.8783
  [Batch 24200] Loss: 7.8862
  [Batch 24300] Loss: 7.8959
  [Batch 24400] Loss: 7.8598
  [Batch 24500] Loss: 7.8524
  [Batch 24600] Loss: 7.8465
  [Batch 24700] Loss: 7.8249
  [Batch 24800] Loss: 7.8165
  [Batch 24900] Loss: 7.8610
  [Batch 25000] Loss: 7.8059
  [Batch 25100] Loss: 7.8795
  [Batch 25200] Loss: 7.8703
  [Batch 25300] Loss: 7.8100
  [Batch 25400] Loss: 7.8254
  [Batch 25500] Loss: 7.8402
  [Batch 25600] Loss: 7.8348
  [Batch 25700] Loss: 7.8328
  [Batch 25800] Loss: 7.8400
  [Batch 25900] Loss: 7.7985
  [Batch 26000] Loss: 7.8197
  [Batch 26100] Loss: 7.8251
  [Batch 26200] Loss: 7.7853
  [Batch 26300] Loss: 7.8096
  [Batch 26400] Loss: 7.8202
  [Batch 26500] Loss: 7.8504
  [Batch 26600] Loss: 7.7859
  [Batch 26700] Loss: 7.7991
  [Batch 26800] Loss: 7.8069
  [Batch 26900] Loss: 7.7607
  [Batch 27000] Loss: 7.7862
  [Batch 27100] Loss: 7.7820
  [Batch 27200] Loss: 7.7865
  [Batch 27300] Loss: 7.7908
  [Batch 27400] Loss: 7.7923
  [Batch 27500] Loss: 7.7823
  [Batch 27600] Loss: 7.8208
  [Batch 27700] Loss: 7.7832
  [Batch 27800] Loss: 7.7362
  [Batch 27900] Loss: 7.7698
  [Batch 28000] Loss: 7.7447
  [Batch 28100] Loss: 7.7689
  [Batch 28200] Loss: 7.7397
  [Batch 28300] Loss: 7.7689
  [Batch 28400] Loss: 7.7410
  [Batch 28500] Loss: 7.7208
  [Batch 28600] Loss: 7.7464
  [Batch 28700] Loss: 7.7491
  [Batch 28800] Loss: 7.7509
  [Batch 28900] Loss: 7.7218
  [Batch 29000] Loss: 7.7255
  [Batch 29100] Loss: 7.7650
  [Batch 29200] Loss: 7.7147
  [Batch 29300] Loss: 7.7035
  [Batch 29400] Loss: 7.7364
  [Batch 29500] Loss: 7.7422
  [Batch 29600] Loss: 7.7414
  [Batch 29700] Loss: 7.7104
  [Batch 29800] Loss: 7.7029
  [Batch 29900] Loss: 7.7135
  [Batch 30000] Loss: 7.6742
  [Batch 30100] Loss: 7.7044
  [Batch 30200] Loss: 7.7126
  [Batch 30300] Loss: 7.6787
  [Batch 30400] Loss: 7.7207
  [Batch 30500] Loss: 7.6905
  [Batch 30600] Loss: 7.6834
  [Batch 30700] Loss: 7.6802
  [Batch 30800] Loss: 7.6797
